도면번호,품명,재질,수량,가로,세로,두께,후처리,비고,소재비,후처리비,가공비(수동입력),최종합계
01-DI240401-A0-0300,Oil Bucket,SS400,1,290,185,2.3,PAINT,Plate 여러장 구성,2369,592,20000,22961
01-DI240401-A0-0400,Sensor Bracket,SUS304,1,100,50,2.0,POLISHING,PL. 2t Bending,612,200,50000,50812
01-DI240401-A0-0500,Drive Timing Pulley,PUR.,1,50,50,20.0,없음,타이밍 풀리 구매후 내경 가공,1125,0,200000,201125
01-DI240401-A0-0300,Oil Bucket,SS400,1,290,185,2.3,PAINT,Plate 여러장 구성,2369,592,50000,52961
01-DI240401-BA-0700.dxf,알수없음,SS400,1,10,10,10.0,없음,AI 분석 실패,19,0,50000,50019
01-DI240401-AA-1300.dxf,알수없음,SS400,1,10,10,10.0,없음,AI 분석 실패,19,0,11111,11130
01-DI240401-A0-0400,Sensor Bracket,SUS304,1,100,50,2,POLISHING,PL. 2t Bending,612,200,200000,200812
01-DI240401-A0-0500,Drive Timing Pulley,PUR.,1,50,50,20,없음,타이밍 풀리 구매후 내경 가공,1125,0,1800000,1801125
01-DI240401-A0-0400,Sensor Bracket,SUS304,1,100,50,2,POLISHING,PL. 2t Bending,612,200,200000,200812
01-DI240401-A0-0500,Drive Timing Pulley,PUR.,1,50,50,20,없음,타이밍 풀리 구매후 내경 가공,1125,0,1800000,1801125
01-DI240401-A0-0400,Sensor Bracket,SUS304,1,100,50,2.0,POLISHING,PL. 2t Bending,612,200,20000,20812
01-DI240401-A0-0500,Drive Timing Pulley,PUR.,1,50,50,20.0,없음,타이밍 풀리 구매후 내경 가공,1125,0,500000,501125
01-DI240401-A0-0300,Oil Bucket,SS400,1,290,185,2.3,PAINT,Plate 여러장 구성,2369,592,200000,202961
01-DI240401-A0-0300,Oil Bucket,SS400,1,290,185,2.3,PAINT,Plate 여러장 구성,2369,592,20000,22961
01-DI240401-A0-0400,Sensor Bracket,SUS304,1,100,50,2.0,POLISHING,PL. 2t Bending,612,200,30000,30812
01-DI240401-A0-0500,Drive Timing Pulley,PUR.,1,50,50,20.0,없음,타이밍 풀리 구매후 내경 가공,1125,0,20000,21125
01-DI240401-AA-1300.dxf,알수없음,SS400,1,10,10,10.0,없음,AI 분석 실패,19,0,20000,20019
